Accession	Gene_Family	Sp	mentioned_miRNA	Pollutant	Observed_Specie	Type	Observerd_effect	Reference	Reference_Rank_score
NA	NA	bbe-	miR-132	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0000838	mir-132	rno-	miR-132-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000426	mir-132	hsa-	miR-132-3p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
NA	NA	ccr-	miR-132-5p	Cadmium	Cyprinus carpio	in vivo (spleen)	up-regulated after exposure	Chen J, Zhang S, Tong J, Teng X, Zhang Z, Li S, et al. Whole transcriptome-based miRNA-mRNA network analysis revealed the mechanism of inflammation-immunosuppressive damage caused by cadmium in common carp spleens. Science of The Total Environment [Internet]. Elsevier BV; 2020 May;717:137081. Available from: http://dx.doi.org/10.1016/j.scitotenv.2020.137081	1
NA	NA	mmu-	miR-133	Arsenic+Cadmium+lead	Mus musculus	in vitro (Balb/3T3 A31-1-1) fibroblast	upregulated after exposure	Martínez-Pacheco M, Hidalgo-Miranda A, Romero-Córdoba S, Valverde M, Rojas E. mRNA and miRNA expression patterns associated to pathways linked to metal mixture health effects. Gene [Internet]. Elsevier BV; 2014 Jan;533(2):508–14. Available from: http://dx.doi.org/10.1016/j.gene.2013.09.049	1,01
NA	NA	hsa-	miR-133a	Benzene	Homo sapiens	in vivo (plasma)	differential regulated in chronic benzene poisoning	Bai W, Chen Y, Yang J, Niu P, Tian L, Gao A. Aberrant miRNA profiles associated with chronic benzene poisoning. Experimental and Molecular Pathology [Internet]. Elsevier BV; 2014 Jun;96(3):426–30. Available from: http://dx.doi.org/10.1016/j.yexmp.2014.04.011	1,03
NA	NA	rno-	miR-133a	Phenanthrene	Rattus norvegicus	In vitro (HL-60 cells) human leukemia	reduction of miR-133a expression may be involved in heart diseases	Huang L, Xi Z, Wang C, Zhang Y, Yang Z, Zhang S, et al. Phenanthrene exposure induces cardiac hypertrophy via reducing miR-133a expression by DNA methylation. Scientific Reports [Internet]. Springer Science and Business Media LLC; 2016 Feb 1;6(1). Available from: http://dx.doi.org/10.1038/srep20105	1,06
NA	NA	rno-	miR-133a	Phenanthrene	Rattus norvegicus domestica (Sprague Dawley)	in vivo (heart)	reduction of miR-133a expression may be involved in heart diseases	Huang L, Xi Z, Wang C, Zhang Y, Yang Z, Zhang S, et al. Phenanthrene exposure induces cardiac hypertrophy via reducing miR-133a expression by DNA methylation. Scientific Reports [Internet]. Springer Science and Business Media LLC; 2016 Feb 1;6(1). Available from: http://dx.doi.org/10.1038/srep20105	1,06
MIMAT0000769	mir-133	mmu-	miR-133b-3p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0032339	mir-133	ssa-	miR-133b-5p	Aluminium	Salmo salar	in vivo (muscle tissue)	down-regulated miRNA in muscle tissue of exposed animals	Kure EH, Sæbø M, Stangeland AM, Hamfjord J, Hytterød S, Heggenes J, et al. Molecular responses to toxicological stressors: Profiling microRNAs in wild Atlantic salmon (Salmo salar) exposed to acidic aluminum-rich water. Aquatic Toxicology [Internet]. Elsevier BV; 2013 Aug;138-139:98–104. Available from: http://dx.doi.org/10.1016/j.aquatox.2013.04.004	1,02
NA	NA	bbe-	miR-134	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	hsa-	miR-135b	Arsenic	Homo sapiens	in vivo (skin lessions biopsies)	Differential expression in malignant lesions associated to arsenic)	Al-Eryani L, Jenkins SF, States VA, Pan J, Malone JC, Rai SN, et al. miRNA expression profiles of premalignant and malignant arsenic-induced skin lesions. Ahmad A, editor. PLOS ONE [Internet]. Public Library of Science (PLoS); 2018 Aug 16;13(8):e0202579. Available from: http://dx.doi.org/10.1371/journal.pone.0202579	1
NA	NA	hsa-	miR-135b	Benzo(a)pyrene	Homo sapiens	in vitro (liver) HepaRG	time-dosis dependent differential reulation after exposure	Marrone AK, Tryndyak V, Beland FA, Pogribny IP. MicroRNA Responses to the Genotoxic Carcinogens Aflatoxin B1and Benzo[a]pyrene in Human HepaRG Cells. Toxicological Sciences [Internet]. Oxford University Press (OUP); 2015 Nov 24;149(2):496–502. Available from: http://dx.doi.org/10.1093/toxsci/kfv253	1,04
NA	NA	bbe-	miR-136	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	bbe-	miR-137	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0000844	mir-138	rno-	miR-138-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000430	mir-138	hsa-	miR-138-5p	Cadmium	Homo sapiens	in vitro (HK-2) kidney proximal tubular cells	significatively upregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
MIMAT0000844	mir-138	rno-	miR-138-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (kidney)	significatively upregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
NA	NA	bbe-	miR-139	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	bbe-	miR-139	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0004552	mir-139	hsa-	miR-139-3p	Arsenic	Homo sapiens	in vivo (skin lessions biopsies)	Differential expression in malignant lesions associated to arsenic)	Al-Eryani L, Jenkins SF, States VA, Pan J, Malone JC, Rai SN, et al. miRNA expression profiles of premalignant and malignant arsenic-induced skin lesions. Ahmad A, editor. PLOS ONE [Internet]. Public Library of Science (PLoS); 2018 Aug 16;13(8):e0202579. Available from: http://dx.doi.org/10.1371/journal.pone.0202579	1
MIMAT0004662	mir-139	mmu-	miR-139-3p	Benzo(a)pyrene	Mus musculus	Developmental biology (whole body)	upreagulated in embryo from sperma of exposed mice.	Brevik A, Lindeman B, Brunborg G, Duale N. Paternal Benzo[a]pyrene Exposure Modulates MicroRNA Expression Patterns in the Developing Mouse Embryo. International Journal of Cell Biology [Internet]. Hindawi Limited; 2012;2012:1–11. Available from: http://dx.doi.org/10.1155/2012/407431	1
MIMAT0000119	mir-2	dme-	miR-13b-3p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
NA	NA	bbe-	miR-14	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	 	miR-14-3p	Cadmium	Sinopotamon henanense	in vivo (hepatopancreas)	significantly down-regulated	Xu P, Guo H, Wang H, Xie Y, Lee SC, Liu M, et al. Identification and profiling of microRNAs responsive to cadmium toxicity in hepatopancreas of the freshwater crab Sinopotamon henanense. Hereditas [Internet]. Springer Science and Business Media LLC; 2019 Nov 4;156(1). Available from: http://dx.doi.org/10.1186/s41065-019-0110-z	0
NA	NA	 	miR-140	Cadmium	Sinopotamon henanense	in vivo (hepatopancreas)	significantly down-regulated	Xu P, Guo H, Wang H, Xie Y, Lee SC, Liu M, et al. Identification and profiling of microRNAs responsive to cadmium toxicity in hepatopancreas of the freshwater crab Sinopotamon henanense. Hereditas [Internet]. Springer Science and Business Media LLC; 2019 Nov 4;156(1). Available from: http://dx.doi.org/10.1186/s41065-019-0110-z	0
MIMAT0000152	mir-140	mmu-	miR-140-3p	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	Up-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000152	mir-140	mmu-	miR-140-3p	Benzo(a)pyrene	Mus musculus	in vivo (liver)	down-regulated in liver	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000573	mir-140	rno-	miR-140-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	mmu-	miR-141	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Upregulated. Oral gavage produce a strong miRNA response in lungs rather than in liver.  Expression may be correlated to those of certain lymphomas.	Halappanavar S, Wu D, Williams A, Kuo B, Godschalk RW, Van Schooten FJ, et al. Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage. Toxicology [Internet]. Elsevier BV; 2011 Jul;285(3):133–41. Available from: http://dx.doi.org/10.1016/j.tox.2011.04.011	1,05
MIMAT0000846	mir-8	rno-	miR-141-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	dpu-	miR-1414	Cadmium	Daphnia pulex	in vivo (whole body)	differential regulated after exposure	Chen S, McKinney GJ, Nichols KM, Colbourne JK, Sepúlveda MS. Novel Cadmium Responsive MicroRNAs in Daphnia pulex. Environmental Science & Technology [Internet]. American Chemical Society (ACS); 2015 Nov 20;49(24):14605–13. Available from: http://dx.doi.org/10.1021/acs.est.5b03988	1
NA	NA	bbe-	miR-142	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	mmu-	miR-142-3p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Downregulated. Oral gavage produce a strong miRNA response in lungs rather than in liver.  Expression may be correlated to those of certain lymphomas.	Halappanavar S, Wu D, Williams A, Kuo B, Godschalk RW, Van Schooten FJ, et al. Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage. Toxicology [Internet]. Elsevier BV; 2011 Jul;285(3):133–41. Available from: http://dx.doi.org/10.1016/j.tox.2011.04.011	1,05
MIMAT0000434	mir-142	hsa-	miR-142-3p	Lead	Homo sapiens	in vivo (Cervical swabs in pregnancy)	differential regulation in exposed pregnant women	Sanders AP, Burris HH, Just AC, Motta V, Amarasiriwardena C, Svensson K, et al. Altered miRNA expression in the cervix during pregnancy associated with lead and mercury exposure. Epigenomics [Internet]. Future Medicine Ltd; 2015 Sep;7(6):885–96. Available from: http://dx.doi.org/10.2217/epi.15.54	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Benzene	Homo sapiens	in vivo (plasma)	differential regulated in chronic benzene poisoning	Bai W, Chen Y, Yang J, Niu P, Tian L, Gao A. Aberrant miRNA profiles associated with chronic benzene poisoning. Experimental and Molecular Pathology [Internet]. Elsevier BV; 2014 Jun;96(3):426–30. Available from: http://dx.doi.org/10.1016/j.yexmp.2014.04.011	1,03
MIMAT0000433	mir-142	hsa-	miR-142-5p	Titanium	Homo sapiens	in vivo (plasma)	down-regulated in exposed workers	Chen W, Fu W, Deng Q, Li Y, Wang K, Bai Y, et al. Multiple metals exposure and chromosome damage: Exploring the mediation effects of microRNAs and their potentials in lung carcinogenesis. Environment International [Internet]. Elsevier BV; 2019 Jan;122:291–300. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.020	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Aluminium	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Antimony	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Cobalt	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Iron	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Lead	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Manganese	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Molybdenum	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Titanium	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Uranium	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000433	mir-142	hsa-	miR-142-5p	Benzo(a)pyrene	Homo sapiens	in vivo (plasma)	downregulated in coke oven workers, associated also with other PAHs exposure	Deng Q, Huang S, Zhang X, Zhang W, Feng J, Wang T, et al. Plasma microRNA Expression and Micronuclei Frequency in Workers Exposed to Polycyclic Aromatic Hydrocarbons. Environmental Health Perspectives [Internet]. Environmental Health Perspectives; 2014 Jul;122(7):719–25. Available from: http://dx.doi.org/10.1289/ehp.1307080	1
NA	NA	mmu-	miR-142-5p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Downregulated. Oral gavage produce a strong miRNA response in lungs rather than in liver.  Expression may be correlated to those of certain lymphomas.	Halappanavar S, Wu D, Williams A, Kuo B, Godschalk RW, Van Schooten FJ, et al. Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage. Toxicology [Internet]. Elsevier BV; 2011 Jul;285(3):133–41. Available from: http://dx.doi.org/10.1016/j.tox.2011.04.011	1,05
NA	NA	dpu-	miR-144	Cadmium	Daphnia pulex	in vivo (whole body)	differential regulated after exposure	Chen S, McKinney GJ, Nichols KM, Colbourne JK, Sepúlveda MS. Novel Cadmium Responsive MicroRNAs in Daphnia pulex. Environmental Science & Technology [Internet]. American Chemical Society (ACS); 2015 Nov 20;49(24):14605–13. Available from: http://dx.doi.org/10.1021/acs.est.5b03988	1
MIMAT0016988	mir-144	mmu-	miR-144-5p	Benzene	Mus musculus	in vivo (C57BL/6J mice’s Lin− HSCs) bone marrow	have important role in the regulation of hematopoiesis	Wei H, Zhang J, Tan K, Sun R, Yin L, Pu Y. Benzene-Induced Aberrant miRNA Expression Profile in Hematopoietic Progenitor Cells in C57BL/6 Mice. International Journal of Molecular Sciences [Internet]. MDPI AG; 2015 Nov 12;16(11):27058–71. Available from: http://dx.doi.org/10.3390/ijms161126001	1
NA	NA	ssa-	miR-145	Aluminium	Salmo salar	in vivo (muscle tissue)	up-regulated miRNA in muscle tissue of exposed animals	Kure EH, Sæbø M, Stangeland AM, Hamfjord J, Hytterød S, Heggenes J, et al. Molecular responses to toxicological stressors: Profiling microRNAs in wild Atlantic salmon (Salmo salar) exposed to acidic aluminum-rich water. Aquatic Toxicology [Internet]. Elsevier BV; 2013 Aug;138-139:98–104. Available from: http://dx.doi.org/10.1016/j.aquatox.2013.04.004	1,02
NA	NA	 	miR-145	Cadmium	Sinopotamon henanense	in vivo (hepatopancreas)	significantly down-regulated	Xu P, Guo H, Wang H, Xie Y, Lee SC, Liu M, et al. Identification and profiling of microRNAs responsive to cadmium toxicity in hepatopancreas of the freshwater crab Sinopotamon henanense. Hereditas [Internet]. Springer Science and Business Media LLC; 2019 Nov 4;156(1). Available from: http://dx.doi.org/10.1186/s41065-019-0110-z	0
NA	NA	hsa-	miR-146a	Lead	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
NA	NA	rno-	miR-146a	Arsenite and Cadmium	Rattus norvegicus domestica (Wistar IGS)	in vivo (liver)	concentration dependent differential regulated after oral administration	Mumtaz F, Albeltagy RS, Diab MSM, Abdel Moneim AE, El-Habit OH. Exposure to arsenite and cadmium induces organotoxicity and miRNAs deregulation in male rats. Environmental Science and Pollution Research [Internet]. Springer Science and Business Media LLC; 2020 Mar 9;27(14):17184–93. Available from: http://dx.doi.org/10.1007/s11356-020-08306-1	1
MIMAT0000852	mir-146	rno-	miR-146a-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000449	mir-146	hsa-	miR-146a-5p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
MIMAT0000158	mir-146	mmu-	miR-146a-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0005595	mir-146	rno-	miR-146b-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0002809	mir-146	hsa-	miR-146b-5p	Sulfides	Homo sapiens	in vivo (plasma)	strongly down regulated in plasma of workers with damaged nerve fibers	GUO L, LUO C, FAN J, HOU Z, JI X, CHEN F, et al. Serum miRNA profiling identifies miR-150/30a as potential biomarker for workers with damaged nerve fibers from carbon disulfide. INDUSTRIAL HEALTH [Internet]. National Institute of Industrial Health; 2015;53(1):38–47. Available from: http://dx.doi.org/10.2486/indhealth.2014-0120	1
MIMAT0002809	mir-146	hsa-	miR-146b-5p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
MIMAT0003475	mir-146	mmu-	miR-146b-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
